2002			5:16	5:21	5:27	5:35	5:41	5:48	5:54	6:04	6:10	6:15	6:26	6:33	6:39	6:43	6:45	6:51								
2004	5:05	5:22	5:35	5:40	5:46	5:54	6:00	6:07	6:13	6:27	6:33	6:38	6:49	6:56	7:02	7:06	7:08	7:17	7:22	7:27	7:30	7:38	7:43	7:45	7:49	7:52
2006			5:57	6:02	6:08	6:16	6:22	6:29	6:35	6:45	6:51	7:02	7:13	7:20	7:26	7:30	7:32	7:41	7:49	7:54	7:57	8:05	8:10	8:12	8:16	8:19
2010	5:55	6:12	6:25	6:30	6:36	6:44	6:50	6:57	7:03	7:13	7:19	7:24	7:35	7:42	7:53	7:57	7:59	8:07	8:13	8:18	8:22	8:30	8:34	8:37	8:40	8:43
2602					6:55			7:12				07:32						7:59	8:04	8:09	8:13	8:21				
2012												7:56	8:07	8:14	8:20	8:24	8:26	8:33								
2014	6:55	7:12	7:25	7:30	7:36	7:44	7:50	7:57	8:03	8:13	8:19	8:24	8:35	8:42	8:48	8:52	8:54	9:02	9:14	9:19	9:22	9:30	9:35	9:37	9:41	9:44
2018												8:48	8:59	9:06	9:12	9:16	9:18	9:24								
2022	7:44	8:01	8:14	8:19	8:25	8:33	8:39	8:46	8:52	9:02	9:08	9:13	9:24	9:31	9:37	9:41	9:43	9:51	9:56	10:01	10:05	10:13	10:17	10:20	10:23	10:26
2024												9:35	9:46	9:53	9:59	10:03	10:05	10:11								
2026	8:25	8:42	8:55	9:00	9:06	9:14	9:25	9:32	9:38	9:48	9:54	9:59	10:10	10:17	10:23	10:27	10:29	10:37	10:42	10:47	10:51	10:59	11:03	11:06	11:09	11:12
2028												10:25	10:36	10:43	10:49	10:53	10:55	11:03	11:08	11:13	11:16	11:24	11:29	11:31	11:35	11:38
2032	9:21	9:38	9:51	9:56	10:02	10:10	10:16	10:23	10:29	10:39	10:45	10:50	11:01	11:08	11:14	11:18	11:20	11:28	11:33	11:38	11:42	11:50	11:54	11:57	12:00	12:03
2036												11:15	11:26	11:33	11:39	11:43	11:45	11:53	11:58	12:03	12:06	12:14	12:19	12:21	12:25	12:28
2040	10:17	10:34	10:47	10:52	10:58	11:06	11:12	11:19	11:25	11:35	11:41	11:46	11:57	12:04	12:10	12:14	12:16	12:30	12:35	12:40	12:43	12:51	12:56	12:58	13:02	13:05
2042												12:05	12:16	12:23	12:29	12:33	12:35	12:41								
2044	10:58	11:15	11:28	11:33	11:39	11:47	11:53	12:00	12:06	12:16	12:22	12:30	12:41	12:48	12:54	12:58	13:00	13:08	13:13	13:18	13:22	13:30	13:34	13:37	13:40	13:43
2048												12:55	13:06	13:13	13:19	13:23	13:25	13:33	13:38	13:43	13:46	13:54	13:59	14:01	14:05	14:08
2050	11:56	12:13	12:26	12:31	12:37	12:45	12:51	12:58	13:04	13:14	13:20	13:25	13:36	13:43	13:49	13:53	13:55	14:03	14:08	14:13	14:17	14:25	14:29	14:32	14:35	14:38
2054												13:55	14:06	14:13	14:19	14:23	14:25	14:33	14:38	14:43	14:46	14:54	14:59	15:01	15:05	15:08
2058	12:52	13:09	13:22	13:27	13:33	13:41	13:47	13:54	14:00	14:10	14:16	14:21	14:32	14:39	14:45	14:49	14:51	14:59	15:06	15:11	15:15	15:23	15:27	15:30	15:33	15:36
2060			13:55	14:00	14:06	14:14	14:20	14:27	14:33	14:43	14:49	14:54	15:05	15:12	15:18	15:22	15:24	15:35	15:41	15:46	15:49	15:57	16:02	16:04	16:08	16:11
2064	13:55	14:12	14:25	14:30	14:36	14:44	14:50	14:57	15:03	15:13	15:19	15:24	15:35	15:42	15:48	15:52	15:54	16:02	16:07	16:12	16:16	16:24	16:28	16:31	16:34	16:37
2066			14:50	14:55	15:01	15:09	15:15	15:22	15:28	15:38	15:44	15:49	16:00	16:07	16:13	16:17	16:19	16:28	16:33	16:38	16:41	16:49	16:54	16:56	17:00	17:03
2068	14:42	14:59	15:12	15:17	15:23	15:31	15:37	15:44	15:50	16:03	16:09	16:14	16:25	16:32	16:38	16:42	16:44	16:52	16:57	17:02	17:06	17:14	17:18	17:21	17:24	17:27
2070			15:35	15:40	15:46	15:54	16:00	16:07	16:13	16:23	16:29	16:39	16:50	16:57	17:03	17:07	17:09	17:15								
2072												17:04	17:15	17:22	17:28	17:32	17:34	17:42	17:47	17:52	17:56	18:04	18:08	18:11	18:14	18:17
2074	15:55	16:12	16:25	16:30	16:36	16:44	16:50	16:57	17:03	17:13	17:19	17:29	17:40	17:47	17:53	17:57	17:59	18:05								
2076			16:50	16:55	17:01	17:09	17:15	17:22	17:28	17:38	17:44	17:54	18:05	18:12	18:18	18:22	18:24	18:32	18:37	18:42	18:46	18:54	18:58	19:01	19:04	19:07
2078	16:45	17:02	17:15	17:20	17:26	17:34	17:40	17:47	17:53	18:03	18:09	18:19	18:30	18:37	18:43	18:47	18:49	18:55								
2080	17:10	17:27	17:40	17:45	17:51	17:59	18:05	18:12	18:18	18:28	18:34	18:39	18:52	19:02	19:08	19:12	19:14	19:22	19:27	19:32	19:36	19:44	19:48	19:51	19:54	19:57
2082												19:07	19:18	19:25	19:31	19:35	19:37	19:43								
2084	18:00	18:17	18:30	18:35	18:41	18:49	18:55	19:02	19:08	19:18	19:24	19:34	19:45	19:52	19:58	20:02	20:04	20:12	20:17	20:22	20:26	20:34	20:38	20:41	20:44	20:47
2086			18:55	19:00	19:06	19:14	19:20	19:27	19:33	19:43	19:49	19:59	20:10	20:17	20:23	20:27	20:29	20:36	20:41	20:46	20:50	20:58	21:02	21:05	21:08	21:11
