2102	5:00	5:07	5:09	5:12	5:14	5:19	5:24	5:28	5:35	5:44	5:55	5:59	6:02	6:04	6:08	6:10	6:13	6:16	6:19	6:26														
2104	5:29	5:36	5:38	5:41	5:43	5:48	5:53	5:57	6:04	6:13	6:24	6:28	6:31	6:33	6:37	6:39	6:42	6:45	6:48	6:55														
2106	5:53	6:00	6:02	6:05	6:07	6:12	6:17	6:21	6:28	6:37	6:48	6:52	6:55	6:57	7:01	7:03	7:06	7:09	7:12	7:19														
2342	6:11	6:18	6:20	6:23	6:25	6:30	6:35	6:39	6:46	6:55	7:06	7:10																						
2352																											7:29	7:38	7:48	7:58	8:06	8:11	8:17	8:32
2108	6:25	6:32	6:34	6:37	6:39	6:44	6:49	6:53	7:00	7:09	7:20	7:24	7:27	7:29	7:33	7:35	7:38	7:41	7:44	7:51														
2110	6:43	6:50	6:52	6:55	6:57	7:02	7:07	7:11	7:18	7:27	7:38	7:42	7:45	7:47	7:51	7:53	7:56	7:59	8:02	8:09														
2344	6:56	7:03	7:05	7:08	7:10	7:15	7:20	7:24	7:31	7:40	7:51	7:55																						
2112	7:04	7:11	7:13	7:16	7:18	7:23	7:28	7:32	7:39	7:48	7:59	8:03	8:06	8:08	8:12	8:14	8:17	8:20	8:23	8:30														
2116	7:26	7:33	7:35	7:38	7:40	7:45	7:50	7:54	8:01	8:10	8:21	8:25	8:28	8:30	8:34	8:36	8:39	8:42	8:45	8:52														
2118	8:09	8:16	8:18	8:21	8:23	8:28	8:33	8:37	8:44	8:53	9:04	9:08	9:11	9:13	9:17	9:19	9:22	9:25	9:28	9:35														
2120	8:35	8:42	8:44	8:47	8:49	8:54	8:59	9:03	9:10	9:19	9:30	9:34	9:37	9:39	9:43	9:45	9:48	9:51	9:54	10:01														
2354																											10:06	10:19	10:29	10:39	10:47	10:52	10:58	11:13
2122	9:03	9:10	9:12	9:15	9:17	9:22	9:27	9:31	9:38	9:47	9:58	10:02	10:05	10:07	10:11	10:13	10:16	10:19	10:22	10:29														
2124	9:32	9:39	9:41	9:44	9:46	9:51	9:56	10:00	10:07	10:16	10:27	10:31	10:34	10:36	10:40	10:42	10:45	10:48	10:51	10:58														
2126	9:58	10:05	10:07	10:10	10:12	10:17	10:22	10:26	10:33	10:42	10:53	10:57	11:00	11:02	11:06	11:08	11:11	11:14	11:17	11:24														
2356																											12:37	12:46	12:56	13:06	13:14	13:19	13:25	13:45
2130	10:48	10:55	10:57	11:00	11:02	11:07	11:12	11:16	11:23	11:32	11:43	11:47	11:50	11:52	11:56	11:58	12:01	12:04	12:07	12:16	12:25	12:30	12:34	12:40	12:47	12:50	12:59	13:09	13:19	13:28	13:37	13:41	13:48	14:03
2132	11:19	11:26	11:28	11:31	11:33	11:38	11:43	11:47	11:54	12:03	12:14	12:18	12:21	12:23	12:27	12:29	12:32	12:35	12:38	12:45														
